byte_hex,status,urdu_kashmiri_best_fit,sindhi_best_fit,lossless_vpua_1,raw_vpua_1,provenance
62,ascii,0062,0062,0062,F8D62,ascii_identity
63,ascii,0063,0063,0063,F8D63,ascii_identity
64,ascii,0064,0064,0064,F8D64,ascii_identity
65,ascii,0065,0065,0065,F8D65,ascii_identity
66,ascii,0066,0066,0066,F8D66,ascii_identity
67,ascii,0067,0067,0067,F8D67,ascii_identity
68,ascii,0068,0068,0068,F8D68,ascii_identity
69,ascii,0069,0069,0069,F8D69,ascii_identity
6A,ascii,006A,006A,006A,F8D6A,ascii_identity
6B,ascii,006B,006B,006B,F8D6B,ascii_identity
6C,ascii,006C,006C,006C,F8D6C,ascii_identity
6D,ascii,006D,006D,006D,F8D6D,ascii_identity
6E,ascii,006E,006E,006E,F8D6E,ascii_identity
6F,ascii,006F,006F,006F,F8D6F,ascii_identity
70,ascii,0070,0070,0070,F8D70,ascii_identity
71,ascii,0071,0071,0071,F8D71,ascii_identity
72,ascii,0072,0072,0072,F8D72,ascii_identity
73,ascii,0073,0073,0073,F8D73,ascii_identity
74,ascii,0074,0074,0074,F8D74,ascii_identity
75,ascii,0075,0075,0075,F8D75,ascii_identity
76,ascii,0076,0076,0076,F8D76,ascii_identity
77,ascii,0077,0077,0077,F8D77,ascii_identity
78,ascii,0078,0078,0078,F8D78,ascii_identity
79,ascii,0079,0079,0079,F8D79,ascii_identity
7A,ascii,007A,007A,007A,F8D7A,ascii_identity
7B,ascii,007B,007B,007B,F8D7B,ascii_identity
7C,ascii,007C,007C,007C,F8D7C,ascii_identity
7D,ascii,007D,007D,007D,F8D7D,ascii_identity
7E,ascii,007E,007E,007E,F8D7E,ascii_identity
7F,ascii,007F,007F,007F,F8D7F,ascii_identity
80,unassigned,,,,F8D80,cdac_unassigned
81,assigned,0640,0640,F8C81,F8D81,cdac_cell_unicode17_name_glyph
82,assigned,0627,0627,F8C82,F8D82,cdac_cell_unicode17_name_glyph
83,assigned,0622,0622,F8C83,F8D83,cdac_cell_unicode17_name_glyph
84,assigned,0628,0628,F8C84,F8D84,cdac_cell_unicode17_name_glyph
85,assigned,067B,067B,F8C85,F8D85,cdac_cell_unicode17_name_glyph
86,assigned,0680,0680,F8C86,F8D86,cdac_cell_unicode17_name_glyph
87,assigned,067E,067E,F8C87,F8D87,cdac_cell_unicode17_name_glyph
88,assigned,06A6,06A6,F8C88,F8D88,cdac_cell_unicode17_name_glyph
89,assigned,062A,062A,F8C89,F8D89,cdac_cell_unicode17_name_glyph
8A,assigned,0629,0629,F8C8A,F8D8A,cdac_cell_unicode17_name_glyph
8B,assigned,067F,067F,F8C8B,F8D8B,cdac_cell_unicode17_name_glyph
8C,assigned,0679,067D,F8C8C,F8D8C,cdac_language_split_unicode17
8D,assigned,067A,067A,F8C8D,F8D8D,cdac_cell_unicode17_name_glyph
8E,assigned,062B,062B,F8C8E,F8D8E,cdac_cell_unicode17_name_glyph
8F,assigned,062C,062C,F8C8F,F8D8F,cdac_cell_unicode17_name_glyph
90,assigned,0684,0684,F8C90,F8D90,cdac_cell_unicode17_name_glyph
91,assigned,0683,0683,F8C91,F8D91,cdac_cell_unicode17_name_glyph
92,assigned,0686,0686,F8C92,F8D92,cdac_cell_unicode17_name_glyph
93,assigned,0687,0687,F8C93,F8D93,cdac_cell_unicode17_name_glyph
94,assigned,062D,062D,F8C94,F8D94,cdac_cell_unicode17_name_glyph
95,assigned,062E,062E,F8C95,F8D95,cdac_cell_unicode17_name_glyph
96,assigned,062F,062F,F8C96,F8D96,cdac_cell_unicode17_name_glyph
97,assigned,068C,068C,F8C97,F8D97,cdac_cell_unicode17_name_glyph
98,assigned,0688,068A,F8C98,F8D98,cdac_language_split_unicode17
99,assigned,068F,068F,F8C99,F8D99,cdac_cell_unicode17_name_glyph
9A,assigned,068D,068D,F8C9A,F8D9A,cdac_cell_unicode17_name_glyph
9B,assigned,0630,0630,F8C9B,F8D9B,cdac_cell_unicode17_name_glyph
9C,assigned,0631,0631,F8C9C,F8D9C,cdac_cell_unicode17_name_glyph
9D,assigned,0691,0699,F8C9D,F8D9D,cdac_language_split_unicode17
9E,assigned,0699+06BE,0699+06BE,F8C9E,F8D9E,iconvex_logical_sequence_inference
9F,assigned,0632,0632,F8C9F,F8D9F,cdac_cell_unicode17_name_glyph
A0,assigned,0698,0698,F8CA0,F8DA0,cdac_cell_unicode17_name_glyph
A1,assigned,0633,0633,F8CA1,F8DA1,cdac_cell_unicode17_name_glyph
A2,assigned,0634,0634,F8CA2,F8DA2,cdac_cell_unicode17_name_glyph
A3,assigned,0635,0635,F8CA3,F8DA3,cdac_cell_unicode17_name_glyph
A4,assigned,0636,0636,F8CA4,F8DA4,cdac_cell_unicode17_name_glyph
A5,assigned,0637,0637,F8CA5,F8DA5,cdac_cell_unicode17_name_glyph
A6,assigned,0638,0638,F8CA6,F8DA6,cdac_cell_unicode17_name_glyph
A7,assigned,0639,0639,F8CA7,F8DA7,cdac_cell_unicode17_name_glyph
A8,assigned,063A,063A,F8CA8,F8DA8,cdac_cell_unicode17_name_glyph
A9,assigned,0641,0641,F8CA9,F8DA9,cdac_cell_unicode17_name_glyph
AA,assigned,0642,0642,F8CAA,F8DAA,cdac_cell_unicode17_name_glyph
AB,assigned,06A9,06AA,F8CAB,F8DAB,cdac_language_split_unicode17
AC,assigned,06A9,06A9,F8CAC,F8DAC,cdac_cell_unicode17_name_glyph
AD,assigned,06AF,06AF,F8CAD,F8DAD,cdac_cell_unicode17_name_glyph
AE,assigned,06B3,06B3,F8CAE,F8DAE,cdac_cell_unicode17_name_glyph
AF,assigned,06B1,06B1,F8CAF,F8DAF,cdac_cell_unicode17_name_glyph
B0,assigned,0644,0644,F8CB0,F8DB0,cdac_cell_unicode17_name_glyph
B1,assigned,0645,0645,F8CB1,F8DB1,cdac_cell_unicode17_name_glyph
B2,assigned,0646,0646,F8CB2,F8DB2,cdac_cell_unicode17_name_glyph
