canonical,aliases,unit_bits,standard_order,module,packed_names
FIELDATA-UNIVAC-1100,EXEC-8-FIELDATA|FIELDATA-1100|SPERRY-UNIVAC-1100-FIELDATA|UNISYS-FIELDATA|UNIVAC-1100-FIELDATA|UNIVAC-1106-FIELDATA|UNIVAC-1108-FIELDATA,6,msb,Iconvex.Specs.FieldataUNIVAC1100,FIELDATA-UNIVAC-1100-PACKED-MSB|FIELDATA-UNIVAC-1100-PACKED-LSB
FIELDATA-UNIVAC-4009-INPUT,SPERRY-UNIVAC-4009-FIELDATA-INPUT|UNIVAC-4009-FIELDATA-INPUT,6,msb,Iconvex.Specs.FieldataUNIVAC4009Input,FIELDATA-UNIVAC-4009-INPUT-PACKED-MSB|FIELDATA-UNIVAC-4009-INPUT-PACKED-LSB
FIELDATA-UNIVAC-4009-OUTPUT,SPERRY-UNIVAC-4009-FIELDATA-OUTPUT|UNIVAC-4009-FIELDATA-OUTPUT,6,msb,Iconvex.Specs.FieldataUNIVAC4009Output,FIELDATA-UNIVAC-4009-OUTPUT-PACKED-MSB|FIELDATA-UNIVAC-4009-OUTPUT-PACKED-LSB
FIELDATA-UNIVAC-4009-LOSSLESS-VPUA,SPERRY-UNIVAC-4009-FIELDATA-LOSSLESS-VPUA|UNIVAC-4009-FIELDATA-LOSSLESS-VPUA,6,msb,Iconvex.Specs.FieldataUNIVAC4009LosslessVPUA,FIELDATA-UNIVAC-4009-LOSSLESS-VPUA-PACKED-MSB|FIELDATA-UNIVAC-4009-LOSSLESS-VPUA-PACKED-LSB
FIELDATA-UNIVAC-4009-RAW-VPUA,SPERRY-UNIVAC-4009-FIELDATA-RAW-VPUA|UNIVAC-4009-FIELDATA-RAW-VPUA,6,msb,Iconvex.Specs.FieldataUNIVAC4009RawVPUA,FIELDATA-UNIVAC-4009-RAW-VPUA-PACKED-MSB|FIELDATA-UNIVAC-4009-RAW-VPUA-PACKED-LSB
IBM-7040-H-REPORT,IBM-7044-H-REPORT,12,msb,Iconvex.Specs.IBM7040HReport,IBM-7040-H-REPORT-PACKED-MSB|IBM-7040-H-REPORT-PACKED-LSB
IBM-7040-H-PROGRAM,IBM-7044-H-PROGRAM,12,msb,Iconvex.Specs.IBM7040HProgram,IBM-7040-H-PROGRAM-PACKED-MSB|IBM-7040-H-PROGRAM-PACKED-LSB
IBM-1401-CARD,IBM1401-CARD,12,msb,Iconvex.Specs.IBM1401Card,IBM-1401-CARD-PACKED-MSB|IBM-1401-CARD-PACKED-LSB
CDC-167-BCD-HOLLERITH-1965,CDC-166-BCD-HOLLERITH-1965,12,msb,Iconvex.Specs.CDC167BCDHollerith1965,CDC-167-BCD-HOLLERITH-1965-PACKED-MSB|CDC-167-BCD-HOLLERITH-1965-PACKED-LSB
CDC-6000-STANDARD-HOLLERITH-1970,CDC-6000-HOLLERITH-1970,12,msb,Iconvex.Specs.CDC6000StandardHollerith1970,CDC-6000-STANDARD-HOLLERITH-1970-PACKED-MSB|CDC-6000-STANDARD-HOLLERITH-1970-PACKED-LSB
