canonical,aliases,module,stateful
DEC-NRC-SWISS,SWISS|SWISS-NRC,Iconvex.Specs.DECNRCSwiss,false
DEC-NRC-UNITED-KINGDOM,BRITISH|DEC-UK-NRC|UK-NRC|UNITED-KINGDOM-NRC,Iconvex.Specs.DECNRCUnitedKingdom,false
DEC-RADIX-50-16BE,DEC-RADIX-50-BE|DEC-RADIX50-BE|PDP-11-RADIX-50-BE,Iconvex.Specs.DECRadix50BE16,false
DEC-RADIX-50-16LE,DEC-RADIX-50|DEC-RADIX-50-LE|DEC-RADIX50|MOD40|PDP-11-RAD50|PDP-11-RADIX-50|RAD50|RADIX-50,Iconvex.Specs.DECRadix50LE16,false
DEC-RADIX-50-18BIT-24BE,DEC-RADIX-50-PDP9-24BE|PDP-15-RADIX-50|PDP-9-RADIX-50|RADIX-50-18BIT,Iconvex.Specs.DECRadix50PDP9BE24,false
DEC-RADIX-50-18BIT-24LE,DEC-RADIX-50-PDP9-24LE|PDP-15-RADIX-50-LE|PDP-9-RADIX-50-LE,Iconvex.Specs.DECRadix50PDP9LE24,false
DEC-RADIX-50-36BIT-40BE,DEC-RADIX-50-PDP10-40BE|DEC-SQUOZE|PDP-10-RADIX-50|PDP-10-RADIX50|SQUOZE,Iconvex.Specs.DECRadix50PDP10BE40,false
DEC-RADIX-50-36BIT-40LE,DEC-RADIX-50-PDP10-40LE|PDP-10-RADIX-50-LE|PDP-10-RADIX50-LE,Iconvex.Specs.DECRadix50PDP10LE40,false
DEC-SIXBIT,DECSIXBIT|PDP-10-SIXBIT,Iconvex.Specs.DECSIXBIT,false
DEC-SPECIAL,DEC-SPECIAL-GL|DEC-SPECIAL-GRAPHIC|DEC-SPECIAL-GRAPHICS|VT100-GRAPHICS|VT100-LINE-DRAWING,Iconvex.Specs.DECSpecial,false
DEC-SPECIAL-GR,DEC-SPECIAL-GRAPHIC-GR|DEC-SPECIAL-GRAPHICS-GR,Iconvex.Specs.DECSpecialGR,false
DEC-TECHNICAL,DEC-TECHNICAL-CHARACTER-SET|DEC-TECHNICAL-GL|VT300-TECHNICAL|VT300-TECHNICAL-GL,Iconvex.Specs.DECTechnical,false
DEC-TECHNICAL-GR,DEC-TECHNICAL-CHARACTER-SET-GR|VT300-TECHNICAL-GR,Iconvex.Specs.DECTechnicalGR,false
DEC-TURKISH-8-1994,CCSID1288|CP1288|DEC-TURKISH|DEC-TURKISH-8|DEC-TURKISH-8-BIT|IBM-1288|IBM1288|TR8DEC,Iconvex.Specs.DECTurkish81994,false
DG-INTERNATIONAL,DATA-GENERAL-INTERNATIONAL,Iconvex.Specs.KermitDGInternational,false
DIN_66003,ISO646-DE|de|iso-ir-21,Iconvex.Specs.RFC1345.Codecs.C019,false
DS_2089,DS2089|ISO646-DK|dk,Iconvex.Specs.RFC1345.Codecs.C083,false
EBCD-CARD-IOWA-824E61A9-16BE,EBCD-PUNCHED-CARD-IOWA-824E61A9-16BE,Iconvex.Specs.EBCDCardIowa824E61A9_16BE,false
EBCD-CARD-IOWA-824E61A9-16LE,EBCD-PUNCHED-CARD-IOWA-824E61A9-16LE,Iconvex.Specs.EBCDCardIowa824E61A9_16LE,false
EBCDIC-AT-DE,,Iconvex.Specs.RFC1345.Codecs.C131,false
EBCDIC-AT-DE-A,,Iconvex.Specs.RFC1345.Codecs.C132,false
EBCDIC-CA-FR,,Iconvex.Specs.RFC1345.Codecs.C133,false
EBCDIC-DK-NO,,Iconvex.Specs.RFC1345.Codecs.C134,false
EBCDIC-DK-NO-A,,Iconvex.Specs.RFC1345.Codecs.C135,false
EBCDIC-ES,,Iconvex.Specs.RFC1345.Codecs.C141,false
EBCDIC-ES-A,,Iconvex.Specs.RFC1345.Codecs.C142,false
EBCDIC-ES-S,,Iconvex.Specs.RFC1345.Codecs.C143,false
EBCDIC-FI-SE,,Iconvex.Specs.RFC1345.Codecs.C136,false
EBCDIC-FI-SE-A,,Iconvex.Specs.RFC1345.Codecs.C137,false
EBCDIC-FR,,Iconvex.Specs.RFC1345.Codecs.C138,false
EBCDIC-IS-FRISS,FRISS,Iconvex.Specs.GlibcCharmaps.Codecs.C9,false
EBCDIC-IT,,Iconvex.Specs.RFC1345.Codecs.C139,false
EBCDIC-PT,,Iconvex.Specs.RFC1345.Codecs.C140,false
EBCDIC-UK,,Iconvex.Specs.RFC1345.Codecs.C144,false
EBCDIC-US,,Iconvex.Specs.RFC1345.Codecs.C145,false
ECMA-1,ECMA-1-6BIT|ECMA-1-PRIMARY|ECMA1,Iconvex.Specs.ECMA1,false
ECMA-cyrillic,iso-ir-111,Iconvex.Specs.RFC1345.Codecs.C057,false
ES,ISO646-ES|iso-ir-17,Iconvex.Specs.RFC1345.Codecs.C016,false
ES2,ISO646-ES2|iso-ir-85,Iconvex.Specs.RFC1345.Codecs.C037,false
EUC-JP-MS,,Iconvex.Specs.GlibcCharmaps.Codecs.C10,false
EVERTYPE-2001-LATIN-8-EXTENDED,,Iconvex.Specs.Evertype.Latin8Extended2001,false
EVERTYPE-2001-MAC-ARMENIAN,,Iconvex.Specs.Evertype.MacArmenian2001,false
EVERTYPE-2001-MAC-BARENTS-CYRILLIC,,Iconvex.Specs.Evertype.MacBarentsCyrillic2001,false
EVERTYPE-2001-MAC-MALTESE-ESPERANTO,,Iconvex.Specs.Evertype.MacMalteseEsperanto2001,false
EVERTYPE-2001-MAC-OGHAM,,Iconvex.Specs.Evertype.MacOgham2001,false
EVERTYPE-2002-MAC-GEORGIAN,,Iconvex.Specs.Evertype.MacGeorgian2002,false
EVERTYPE-2002-MAC-TURKIC-CYRILLIC,,Iconvex.Specs.Evertype.MacTurkicCyrillic2002,false
Extended_UNIX_Code_Fixed_Width_for_Japanese,csEUCFixWidJapanese,Iconvex.Specs.IANAEUCFixedWidthJapanese,false
FIELDATA-UNIVAC-1100,EXEC-8-FIELDATA|FIELDATA-1100|SPERRY-UNIVAC-1100-FIELDATA|UNISYS-FIELDATA|UNIVAC-1100-FIELDATA|UNIVAC-1106-FIELDATA|UNIVAC-1108-FIELDATA,Iconvex.Specs.FieldataUNIVAC1100,false
FIELDATA-UNIVAC-4009-INPUT,SPERRY-UNIVAC-4009-FIELDATA-INPUT|UNIVAC-4009-FIELDATA-INPUT,Iconvex.Specs.FieldataUNIVAC4009Input,false
FIELDATA-UNIVAC-4009-LOSSLESS-VPUA,SPERRY-UNIVAC-4009-FIELDATA-LOSSLESS-VPUA|UNIVAC-4009-FIELDATA-LOSSLESS-VPUA,Iconvex.Specs.FieldataUNIVAC4009LosslessVPUA,false
FIELDATA-UNIVAC-4009-OUTPUT,SPERRY-UNIVAC-4009-FIELDATA-OUTPUT|UNIVAC-4009-FIELDATA-OUTPUT,Iconvex.Specs.FieldataUNIVAC4009Output,false
FIELDATA-UNIVAC-4009-RAW-VPUA,SPERRY-UNIVAC-4009-FIELDATA-RAW-VPUA|UNIVAC-4009-FIELDATA-RAW-VPUA,Iconvex.Specs.FieldataUNIVAC4009RawVPUA,false
FSW,FORMAL-SIGNWRITING-ASCII|FORMAL-SIGNWRITING-IN-ASCII|FSW-2012|FSW-ASCII,Iconvex.Specs.FormalSignWriting,false
GE-600-CARD-IOWA-824E61A9-16BE,GE-600-PUNCHED-CARD-IOWA-824E61A9-16BE,Iconvex.Specs.GE600CardIowa824E61A9_16BE,false
GE-600-CARD-IOWA-824E61A9-16LE,GE-600-PUNCHED-CARD-IOWA-824E61A9-16LE,Iconvex.Specs.GE600CardIowa824E61A9_16LE,false
GLIBC-IBM423,GLIBC-CP423|GLIBC-EBCDIC-CP-GR|IBM423-GLIBC,Iconvex.Specs.GlibcIBM423,false
GOST_19768-74,ST_SEV_358-88|iso-ir-153,Iconvex.Specs.RFC1345.Codecs.C077,false
GREEK-ISO,ECMA-118-1987|ELOT-928|ELOT928|ELOT928-GREEK|ISO-IR-126-1987,Iconvex.Specs.KermitGreekISO,false
HANGUL-JOHAB-COMPONENT,UNICODE-HANGUL-JOHAB,Iconvex.Specs.UnicodeMappingComponents.Codecs.C3,false
HANGUL-UHANGUL,HANGUL|UHANGUL|UNICODE-HANGUL-UNIFIED,Iconvex.Specs.UnicodeMappingComponents.Codecs.C2,false
HANGUL-WANSUNG-COMPONENT,UNICODE-HANGUL-WANSUNG,Iconvex.Specs.UnicodeMappingComponents.Codecs.C1,false
HEBREW-ISO,HEBREW-ISO-KERMIT|ISO-8859-8-1988-HISTORICAL|ISO-IR-138-1988,Iconvex.Specs.KermitHebrewISO,false
HP-DeskTop,csHPDesktop,Iconvex.Specs.IANAPCLSymbolSets.Codecs.C1,false
HP-GREEK8,,Iconvex.Specs.GlibcCharmaps.Codecs.C11,false
HP-Legal,csHPLegal,Iconvex.Specs.IANAPCLSymbolSets.Codecs.C2,false
HP-Math8,csHPMath8,Iconvex.Specs.IANAPCLSymbolSets.Codecs.C3,false
HP-Pi-font,csHPPiFont,Iconvex.Specs.IANAPCLSymbolSets.Codecs.C4,false
HP-ROMAN9,R9|ROMAN9,Iconvex.Specs.GlibcCharmaps.Codecs.C12,false
HP-THAI8,THAI8,Iconvex.Specs.GlibcCharmaps.Codecs.C13,false
HP-TURKISH8,TURKISH8,Iconvex.Specs.GlibcCharmaps.Codecs.C14,false
IBM-029-CARD-IOWA-824E61A9-16BE,IBM-029-PUNCHED-CARD-IOWA-824E61A9-16BE,Iconvex.Specs.IBM029CardIowa824E61A9_16BE,false
IBM-029-CARD-IOWA-824E61A9-16LE,IBM-029-PUNCHED-CARD-IOWA-824E61A9-16LE,Iconvex.Specs.IBM029CardIowa824E61A9_16LE,false
IBM-1116-850-P100-COMPOSITE,CP1116-850-P100-COMPOSITE|IBM-1116-P100-COMPOSITE|IBM1116-850-P100-COMPOSITE,Iconvex.Specs.IBM1116850P100Composite,false
IBM-1117-437-P100-COMPOSITE,CP1117-437-P100-COMPOSITE|IBM-1117-P100-COMPOSITE|IBM1117-437-P100-COMPOSITE,Iconvex.Specs.IBM1117437P100Composite,false
IBM-1175,CCSID1175|CP1175|IBM1175,Iconvex.Specs.IBM1175,false
IBM-1200,CCSID1200|CCSID1201|CCSID13488|CCSID13489|CCSID17584|CCSID17585|CCSID21680|CCSID21681|CCSID25776|CCSID25777|CCSID29872|CCSID29873|CCSID61955|CCSID61956|IBM-1201|IBM-13488|IBM-13489|IBM-17584|IBM-17585|IBM-21680|IBM-21681|IBM-25776|IBM-25777|IBM-29872|IBM-29873|IBM-61955|IBM-61956|IBM1200|IBM1201|IBM13488|IBM13489|IBM17584|IBM17585|IBM21680|IBM21681|IBM25776|IBM25777|IBM29872|IBM29873|IBM61955|IBM61956,Iconvex.Specs.IBMUnicodeCCSIDs.Codec,false
IBM-1401-CARD-16BE,IBM-1401-CARD-BE|IBM1401-CARD-16BE,Iconvex.Specs.IBM1401Card16BE,false
IBM-1401-CARD-16LE,IBM-1401-CARD-LE|IBM1401-CARD-16LE,Iconvex.Specs.IBM1401Card16LE,false
IBM-17354,CCSID17354|CP17354|IBM17354,Iconvex.Specs.IBM17354,true
IBM-24-26-SPECIAL-CHARACTER-ARRANGEMENT-A-16BE,BCD-A-16BE|IBM-026-COMMERCIAL-CARD-CODE-16BE|IBM-24-26-ARRANGEMENT-A-16BE,Iconvex.Specs.IBM2426ArrangementA16BE,false
IBM-24-26-SPECIAL-CHARACTER-ARRANGEMENT-A-16LE,BCD-A-16LE|IBM-026-COMMERCIAL-CARD-CODE-16LE|IBM-24-26-ARRANGEMENT-A-16LE,Iconvex.Specs.IBM2426ArrangementA16LE,false
IBM-24-26-SPECIAL-CHARACTER-ARRANGEMENT-B-16BE,IBM-24-26-ARRANGEMENT-B-16BE,Iconvex.Specs.IBM2426ArrangementB16BE,false
IBM-24-26-SPECIAL-CHARACTER-ARRANGEMENT-B-16LE,IBM-24-26-ARRANGEMENT-B-16LE,Iconvex.Specs.IBM2426ArrangementB16LE,false
IBM-24-26-SPECIAL-CHARACTER-ARRANGEMENT-C-16BE,IBM-24-26-ARRANGEMENT-C-16BE,Iconvex.Specs.IBM2426ArrangementC16BE,false
IBM-24-26-SPECIAL-CHARACTER-ARRANGEMENT-C-16LE,IBM-24-26-ARRANGEMENT-C-16LE,Iconvex.Specs.IBM2426ArrangementC16LE,false
IBM-24-26-SPECIAL-CHARACTER-ARRANGEMENT-D-16BE,IBM-24-26-ARRANGEMENT-D-16BE,Iconvex.Specs.IBM2426ArrangementD16BE,false
IBM-24-26-SPECIAL-CHARACTER-ARRANGEMENT-D-16LE,IBM-24-26-ARRANGEMENT-D-16LE,Iconvex.Specs.IBM2426ArrangementD16LE,false
IBM-24-26-SPECIAL-CHARACTER-ARRANGEMENT-E-16BE,IBM-24-26-ARRANGEMENT-E-16BE,Iconvex.Specs.IBM2426ArrangementE16BE,false
IBM-24-26-SPECIAL-CHARACTER-ARRANGEMENT-E-16LE,IBM-24-26-ARRANGEMENT-E-16LE,Iconvex.Specs.IBM2426ArrangementE16LE,false
IBM-24-26-SPECIAL-CHARACTER-ARRANGEMENT-F-16BE,IBM-24-26-ARRANGEMENT-F-16BE,Iconvex.Specs.IBM2426ArrangementF16BE,false
IBM-24-26-SPECIAL-CHARACTER-ARRANGEMENT-F-16LE,IBM-24-26-ARRANGEMENT-F-16LE,Iconvex.Specs.IBM2426ArrangementF16LE,false
IBM-24-26-SPECIAL-CHARACTER-ARRANGEMENT-G-16BE,IBM-24-26-ARRANGEMENT-G-16BE,Iconvex.Specs.IBM2426ArrangementG16BE,false
IBM-24-26-SPECIAL-CHARACTER-ARRANGEMENT-G-16LE,IBM-24-26-ARRANGEMENT-G-16LE,Iconvex.Specs.IBM2426ArrangementG16LE,false
IBM-24-26-SPECIAL-CHARACTER-ARRANGEMENT-H-16BE,BCD-H-16BE|IBM-026-FORTRAN-CARD-CODE-16BE|IBM-24-26-ARRANGEMENT-H-16BE,Iconvex.Specs.IBM2426ArrangementH16BE,false
IBM-24-26-SPECIAL-CHARACTER-ARRANGEMENT-H-16LE,BCD-H-16LE|IBM-026-FORTRAN-CARD-CODE-16LE|IBM-24-26-ARRANGEMENT-H-16LE,Iconvex.Specs.IBM2426ArrangementH16LE,false
IBM-24-26-SPECIAL-CHARACTER-ARRANGEMENT-J-16BE,IBM-24-26-ARRANGEMENT-J-16BE,Iconvex.Specs.IBM2426ArrangementJ16BE,false
IBM-24-26-SPECIAL-CHARACTER-ARRANGEMENT-J-16LE,IBM-24-26-ARRANGEMENT-J-16LE,Iconvex.Specs.IBM2426ArrangementJ16LE,false
IBM-24-26-SPECIAL-CHARACTER-ARRANGEMENT-K-16BE,IBM-24-26-ARRANGEMENT-K-16BE,Iconvex.Specs.IBM2426ArrangementK16BE,false
IBM-24-26-SPECIAL-CHARACTER-ARRANGEMENT-K-16LE,IBM-24-26-ARRANGEMENT-K-16LE,Iconvex.Specs.IBM2426ArrangementK16LE,false
IBM-310-293-P100-COMPOSITE-VPUA,CP310-293-P100-COMPOSITE-VPUA|IBM-310-293-P100-VPUA|IBM310-293-P100-COMPOSITE-VPUA,Iconvex.Specs.IBM310293P100CompositeVPUA,false
IBM-5052,CCSID5052|CCSID956|CP5052|CP956|IBM-956|IBM5052|IBM956,Iconvex.Specs.IBM5052,true
IBM-5053,CCSID5053|CCSID957|CP5053|CP957|IBM-957|IBM5053|IBM957,Iconvex.Specs.IBM5053,true
IBM-5055,CCSID5055|CCSID959|CP5055|CP959|IBM-959|IBM5055|IBM959,Iconvex.Specs.IBM5055,true
IBM-7040-H-PROGRAM-16BE,IBM-7040-H-PROGRAM-BE|IBM-7044-H-PROGRAM-16BE,Iconvex.Specs.IBM7040HProgram16BE,false
IBM-7040-H-PROGRAM-16LE,IBM-7040-H-PROGRAM-LE|IBM-7044-H-PROGRAM-16LE,Iconvex.Specs.IBM7040HProgram16LE,false
IBM-7040-H-REPORT-16BE,IBM-7040-H-REPORT-BE|IBM-7044-H-REPORT-16BE,Iconvex.Specs.IBM7040HReport16BE,false
IBM-7040-H-REPORT-16LE,IBM-7040-H-REPORT-LE|IBM-7044-H-REPORT-16LE,Iconvex.Specs.IBM7040HReport16LE,false
IBM-907-CDRA-P100-VPUA-COMPOSITE,CP907-CDRA-P100-VPUA-COMPOSITE|IBM-907-P100-VPUA-COMPOSITE|IBM907-CDRA-P100-VPUA-COMPOSITE,Iconvex.Specs.IBM907CDRAP100VPUAComposite,false
IBM-934,CCSID934|CP934|IBM934,Iconvex.Specs.IBM934,false
IBM-938,CCSID938|CP938|IBM938,Iconvex.Specs.IBM938,false
IBM-958,CCSID958|CP958|IBM958,Iconvex.Specs.IBM958,true
IBM-965,CCSID965|CP965|IBM965,Iconvex.Specs.IBM965,true
IBM-TNZ-CP310-B1EAE3C,CP310-TNZ-07D60F4|IBM-TNZ-CP310-07D60F4|TNZ-CP310-07D60F4|TNZ-CP310-B1EAE3C,Iconvex.Specs.IBMTNZCP310B1EAE3C,false
IBM038,EBCDIC-INT|cp038,Iconvex.Specs.RFC1345.Codecs.C092,false
IBM1004,CP1004|OS2LATIN1,Iconvex.Specs.GlibcCharmaps.Codecs.C15,false
IBM256,EBCDIC-INT1,Iconvex.Specs.GlibcCharmaps.Codecs.C16,false
IBM274,CP274|EBCDIC-BE,Iconvex.Specs.RFC1345.Codecs.C094,false
IBM275,EBCDIC-BR|cp275,Iconvex.Specs.RFC1345.Codecs.C095,false
IBM281,EBCDIC-JP-E|cp281,Iconvex.Specs.RFC1345.Codecs.C099,false
IBM290,EBCDIC-JP-kana|cp290,Iconvex.Specs.RFC1345.Codecs.C102,false
IBM420,cp420|ebcdic-cp-ar1,Iconvex.Specs.RFC1345.Codecs.C104,false
IBM851,851|cp851,Iconvex.Specs.RFC1345.Codecs.C110,false
