profile,token,unicode,origin
mac,45CB,1EC0,source_vietnamese
mac,45CC,1EC4,source_vietnamese
mac,45CD,1EBC,source_vietnamese
mac,45E5,00CA,source_vietnamese
mac,45E7,1EBE,source_vietnamese
mac,45EC,1EB8,source_vietnamese
mac,45F3,1EBA,source_vietnamese
mac,45F4,00C9,source_vietnamese
mac,46,0046,ascii_identity
mac,47,0047,ascii_identity
mac,48,0048,ascii_identity
mac,49,0049,ascii_identity
mac,4A,004A,ascii_identity
mac,4B,004B,ascii_identity
mac,4C,004C,ascii_identity
mac,4D,004D,ascii_identity
mac,4E,004E,ascii_identity
mac,4F,004F,ascii_identity
mac,4F80,1ED8,source_vietnamese
mac,4F81,1ED4,source_vietnamese
mac,4FAF,00D2,source_vietnamese
mac,4FCB,1ED2,source_vietnamese
mac,4FCC,1ED6,source_vietnamese
mac,4FCD,00D5,source_vietnamese
mac,4FE5,00D4,source_vietnamese
mac,4FE7,1ED0,source_vietnamese
mac,4FEC,1ECC,source_vietnamese
mac,4FF3,1ECE,source_vietnamese
mac,4FF4,00D3,source_vietnamese
mac,50,0050,ascii_identity
mac,51,0051,ascii_identity
mac,52,0052,ascii_identity
mac,53,0053,ascii_identity
mac,54,0054,ascii_identity
mac,55,0055,ascii_identity
mac,55AF,00D9,source_vietnamese
mac,55CD,0168,source_vietnamese
mac,55EC,1EE4,source_vietnamese
mac,55F3,1EE6,source_vietnamese
mac,55F4,00DA,source_vietnamese
mac,56,0056,ascii_identity
mac,57,0057,ascii_identity
mac,58,0058,ascii_identity
mac,59,0059,ascii_identity
mac,59AF,1EF2,source_vietnamese
mac,59CD,1EF8,source_vietnamese
mac,59EC,1EF4,source_vietnamese
mac,59F3,1EF6,source_vietnamese
mac,59F4,00DD,source_vietnamese
mac,5A,005A,ascii_identity
mac,5B,005B,ascii_identity
mac,5C,005C,ascii_identity
mac,5D,005D,ascii_identity
mac,5E,005E,ascii_identity
mac,5F,005F,ascii_identity
mac,60,0060,ascii_identity
mac,61,0061,ascii_identity
mac,6187,1EA5,source_vietnamese
mac,6188,1EA7,source_vietnamese
mac,6189,00E2,source_vietnamese
mac,618A,1EAD,source_vietnamese
mac,618B,1EAB,source_vietnamese
mac,618C,1EA9,source_vietnamese
mac,618E,1EAF,source_vietnamese
mac,618F,1EB1,source_vietnamese
mac,6190,0103,source_vietnamese
mac,6191,1EB7,source_vietnamese
mac,6195,1EA1,source_vietnamese
mac,619B,00E3,source_vietnamese
mac,619C,1EB3,source_vietnamese
mac,619D,00E1,source_vietnamese
mac,619E,1EA3,source_vietnamese
mac,619F,1EB5,source_vietnamese
mac,61BF,00E0,source_vietnamese
mac,62,0062,ascii_identity
mac,63,0063,ascii_identity
mac,64,0064,ascii_identity
mac,65,0065,ascii_identity
mac,6587,1EBF,source_vietnamese
mac,6588,1EC1,source_vietnamese
mac,6589,00EA,source_vietnamese
mac,658A,1EC7,source_vietnamese
mac,658B,1EC5,source_vietnamese
mac,658C,1EC3,source_vietnamese
mac,6595,1EB9,source_vietnamese
mac,659B,1EBD,source_vietnamese
mac,659D,00E9,source_vietnamese
mac,659E,1EBB,source_vietnamese
mac,65BF,00E8,source_vietnamese
mac,66,0066,ascii_identity
mac,67,0067,ascii_identity
mac,68,0068,ascii_identity
mac,69,0069,ascii_identity
mac,6A,006A,ascii_identity
mac,6B,006B,ascii_identity
mac,6C,006C,ascii_identity
mac,6D,006D,ascii_identity
mac,6E,006E,ascii_identity
mac,6F,006F,ascii_identity
mac,6F87,1ED1,source_vietnamese
mac,6F88,1ED3,source_vietnamese
mac,6F89,00F4,source_vietnamese
mac,6F8A,1ED9,source_vietnamese
mac,6F8B,1ED7,source_vietnamese
mac,6F8C,1ED5,source_vietnamese
mac,6F95,1ECD,source_vietnamese
mac,6F9B,00F5,source_vietnamese
mac,6F9D,00F3,source_vietnamese
mac,6F9E,1ECF,source_vietnamese
mac,6FBF,00F2,source_vietnamese
mac,70,0070,ascii_identity
mac,71,0071,ascii_identity
mac,72,0072,ascii_identity
mac,73,0073,ascii_identity
mac,74,0074,ascii_identity
mac,75,0075,ascii_identity
mac,7595,1EE5,source_vietnamese
mac,759B,0169,source_vietnamese
mac,759D,00FA,source_vietnamese
mac,759E,1EE7,source_vietnamese
mac,75BF,00F9,source_vietnamese
mac,76,0076,ascii_identity
mac,77,0077,ascii_identity
mac,78,0078,ascii_identity
mac,79,0079,ascii_identity
mac,7995,1EF5,source_vietnamese
mac,799B,1EF9,source_vietnamese
mac,799D,00FD,source_vietnamese
mac,799E,1EF7,source_vietnamese
mac,79BF,1EF3,source_vietnamese
mac,7A,007A,ascii_identity
mac,7B,007B,ascii_identity
mac,7C,007C,ascii_identity
mac,7D,007D,ascii_identity
mac,7E,007E,ascii_identity
mac,7F,007F,ascii_identity
mac,84,0110,source_vietnamese
mac,85,01AF,source_vietnamese
mac,85AF,1EEA,source_vietnamese
mac,85CD,1EEE,source_vietnamese
mac,85EC,1EF0,source_vietnamese
mac,85F3,1EEC,source_vietnamese
mac,85F4,1EE8,source_vietnamese
mac,92,00ED,source_vietnamese
mac,93,00EC,source_vietnamese
mac,96,0111,source_vietnamese
mac,97,0129,source_vietnamese
mac,98,1ECB,source_vietnamese
mac,99,01A1,source_vietnamese
mac,9995,1EE3,source_vietnamese
mac,999B,1EE1,source_vietnamese
mac,999D,1EDB,source_vietnamese
mac,999E,1EDF,source_vietnamese
mac,99BF,1EDD,source_vietnamese
mac,9A,01B0,source_vietnamese
mac,9A95,1EF1,source_vietnamese
mac,9A9B,1EEF,source_vietnamese
mac,9A9D,1EE9,source_vietnamese
mac,9A9E,1EED,source_vietnamese
mac,9ABF,1EEB,source_vietnamese
mac,AE,1EC8,source_vietnamese
mac,BE,1EC9,source_vietnamese
mac,EA,00CD,source_vietnamese
mac,ED,00CC,source_vietnamese
mac,EE,0128,source_vietnamese
mac,EF,01A0,source_vietnamese
mac,EFAF,1EDC,source_vietnamese
mac,EFCD,1EE0,source_vietnamese
mac,EFEC,1EE2,source_vietnamese
