catalog_id,name,aliases,kinds,confidence,gnu_libiconv_1_19,iconvex,coverage_status,implementation_disposition,wikipedia_source_ids,wikipedia_urls,all_source_ids,all_source_urls,statuses
ENC-1299,OMS encoding,OMS | OMS-ENCODING | TEX-LIVE-OMS-CMSY10-TOUNICODE-2026 | TEX-MATH-SYMBOLS,tex_math_font_encoding | wikidata_characterencoding | wikipedia_character_set_page,high,no,yes,implemented,implemented,wikipedia:pageid 54374854,https://en.wikipedia.org/wiki/OMS_encoding,wikidata:Q30676155 | wikipedia:pageid 54374854 | supplement:OMS encoding,https://www.wikidata.org/wiki/Q30676155 | https://en.wikipedia.org/wiki/OMS_encoding | https://raw.githubusercontent.com/latex3/latex2e/7c8574ae28a5b257f7b92cc1e5e317255644e40d/required/latex-lab/testfiles-math/mathcapture-tag-001.tpf,primary_source_exact_mapping
ENC-1303,OT1 encoding,TEX-OT1-0-CMAP-1.0J | TEX-OT1-CMAP-1.0J | TEX-OT1TT-0-CMAP-1.0J | TEX-OT1TT-CMAP-1.0J,source_qualified_font_unicode_extraction_profiles | wikipedia_character_set_page,high,no,yes,implemented,implemented,wikipedia:pageid 54560666,https://en.wikipedia.org/wiki/OT1_encoding,wikipedia:pageid 54560666 | supplement:OT1 encoding,https://en.wikipedia.org/wiki/OT1_encoding | https://tug.ctan.org/macros/latex/contrib/cmap.zip,pinned_lppl_source_mapping_exact
ENC-1306,PCW character set,,wikipedia_character_set_page,candidate,no,no,remaining,research_candidate,wikipedia:pageid 54560173,https://en.wikipedia.org/wiki/PCW_character_set,wikipedia:pageid 54560173,https://en.wikipedia.org/wiki/PCW_character_set,
ENC-1308,Perso-Arabic Script Code for Information Interchange,PASCII-CDAC-GIST-1.0-2002-LOSSLESS-VPUA-1 | PASCII-CDAC-GIST-1.0-2002-RAW-VPUA-1 | PASCII-CDAC-GIST-1.0-2002-SINDHI-UNICODE17-BEST-FIT | PASCII-CDAC-GIST-1.0-2002-URDU-KASHMIRI-UNICODE17-BEST-FIT,source_qualified_legacy_octet_encoding_profiles | wikidata_characterencoding | wikipedia_character_set_page,high,no,yes,implemented,implemented,wikipedia:pageid 8014193,https://en.wikipedia.org/wiki/Perso-Arabic_Script_Code_for_Information_Interchange,wikidata:Q3900173 | wikipedia:pageid 8014193 | supplement:Perso-Arabic Script Code for Information Interchange,https://www.wikidata.org/wiki/Q3900173 | https://en.wikipedia.org/wiki/Perso-Arabic_Script_Code_for_Information_Interchange | https://www.cs.cmu.edu/afs/cs.cmu.edu/project/cmt-40/Nice/Urdu-MT/code/Tools/Encoding_Conversion/EncodingInfo/PASCIIStandard.pdf,primary_government_byte_chart_with_explicit_projection_policy
ENC-1309,PETSCII,,wikidata_characterencoding | wikipedia_character_set_page,medium,no,yes,implemented,implemented,wikipedia:pageid 469047,https://en.wikipedia.org/wiki/PETSCII,wikidata:Q1022979 | wikipedia:pageid 469047,https://www.wikidata.org/wiki/Q1022979 | https://en.wikipedia.org/wiki/PETSCII,
ENC-1311,Popularity of text encodings,,wikipedia_character_set_page,candidate,no,no,remaining,research_candidate,wikipedia:pageid 67131807,https://en.wikipedia.org/wiki/Popularity_of_text_encodings,wikipedia:pageid 67131807,https://en.wikipedia.org/wiki/Popularity_of_text_encodings,
ENC-1312,Portable character set,,wikidata_characterencoding | wikipedia_character_set_page,medium,no,no,remaining,repertoire_abstraction,wikipedia:pageid 2405344,https://en.wikipedia.org/wiki/Portable_character_set,wikidata:Q4350686 | wikipedia:pageid 2405344,https://www.wikidata.org/wiki/Q4350686 | https://en.wikipedia.org/wiki/Portable_character_set,
ENC-1314,PostScript Latin 1 Encoding,ADOBE-POSTSCRIPT-3-ISOLATIN1-AGL-4036A9CA | ADOBE-POSTSCRIPT-3-ISOLATIN1ENCODING-AGL-4036A9CA,source_qualified_glyph_vector_unicode_encoding | wikipedia_character_set_page,high,no,yes,implemented,implemented,wikipedia:pageid 56933980,https://en.wikipedia.org/wiki/PostScript_Latin_1_Encoding,wikipedia:pageid 56933980 | supplement:PostScript Latin 1 Encoding,https://en.wikipedia.org/wiki/PostScript_Latin_1_Encoding | https://www.adobe.com/jp/print/postscript/pdfs/PLRM.pdf,primary_vector_and_pinned_bsd_glyph_mapping_exact
ENC-1315,PostScript Standard Encoding,,wikipedia_character_set_page,candidate,no,no,remaining,research_candidate,wikipedia:pageid 53165942,https://en.wikipedia.org/wiki/PostScript_Standard_Encoding,wikipedia:pageid 53165942,https://en.wikipedia.org/wiki/PostScript_Standard_Encoding,
ENC-1316,PrintableString,,wikipedia_character_set_page,candidate,no,no,remaining,research_candidate,wikipedia:pageid 11856681,https://en.wikipedia.org/wiki/PrintableString,wikipedia:pageid 11856681,https://en.wikipedia.org/wiki/PrintableString,
